timestamp,node_a,node_b,bilateral_balance,trade_count,utilization_pct
2026-03-13T07:24:39Z,node-001,0c8d0b01a638eb59,-1.0,1,69.6
2026-03-13T07:24:39Z,node-001,076c5ab2fa410bcf,-3.0,11,78.3
2026-03-13T07:24:39Z,node-001,d66d8bf50f6fc2f9,1.0,1,60.9
2026-03-13T07:24:39Z,node-001,557c350edddcb9d4,-1.0,1,69.6
2026-03-13T07:24:39Z,node-001,626519f0418eb222,2.0,2,56.5
2026-03-13T07:24:39Z,node-001,376a828c9dde5ba8,-1.0,1,69.6
2026-03-13T07:24:39Z,node-001,8dcc5a96235378bf,-1.0,1,69.6
2026-03-13T07:24:39Z,node-001,201f4c87ab2d3e4e,-1.0,1,69.6
2026-03-13T07:24:39Z,node-001,d06e989fdef9c055,-1.0,1,69.6
2026-03-13T07:24:39Z,node-001,85a974d78ecb9574,4.0,4,47.8
2026-03-13T07:24:39Z,node-001,48e20dbf01d284f8,-8.0,7,100.0
2026-03-13T07:24:39Z,node-002,bbd2e3dba149f9f3,1.0,1,60.9
2026-03-13T07:24:39Z,node-002,076c5ab2fa410bcf,-7.0,33,95.7
2026-03-13T07:24:39Z,node-002,a8e9ec576821074b,1.0,1,60.9
2026-03-13T07:24:39Z,node-002,4806ad0a6313236c,-2.0,2,73.9
2026-03-13T07:24:39Z,node-002,64158b5444a6035c,-1.0,3,69.6
2026-03-13T07:24:39Z,node-002,b5a8fbf8cd2c4579,2.0,2,56.5
2026-03-13T07:24:39Z,node-002,46e3ccb8fd33a41f,-2.0,2,73.9
2026-03-13T07:24:39Z,node-002,07f7f8404b1cc28a,1.0,1,60.9
2026-03-13T07:24:39Z,node-002,0f0c0520c5b0b60a,1.0,1,60.9
2026-03-13T07:24:39Z,node-002,626519f0418eb222,-1.0,1,69.6
2026-03-13T07:24:39Z,node-002,644522e433d8ff8e,-1.0,1,69.6
2026-03-13T07:24:39Z,node-002,8db4b5101216d407,-1.0,1,69.6
2026-03-13T07:24:39Z,node-002,62f9d4e416d294b6,2.0,2,56.5
2026-03-13T07:24:39Z,node-002,19e76ccb9f7fe020,-5.0,5,87.0
2026-03-13T07:24:39Z,node-002,0a199af7c36d7c3f,-1.0,1,69.6
2026-03-13T07:24:39Z,node-002,557c350edddcb9d4,1.0,1,60.9
2026-03-13T07:24:39Z,node-002,e39475be70daa5ad,-1.0,1,69.6
2026-03-13T07:24:39Z,node-002,b5af3415313dfa0f,1.0,3,60.9
2026-03-13T07:24:39Z,node-002,6aecef6e82bd1b2e,1.0,1,60.9
2026-03-13T07:24:39Z,node-002,c1a9a2545f85900f,-1.0,1,69.6
2026-03-13T07:24:39Z,node-002,162a314fac2ce041,-1.0,1,69.6
2026-03-13T07:24:39Z,node-002,02a511779a65722a,-1.0,1,69.6
2026-03-13T07:24:39Z,node-002,06d55dea6fe7789b,-1.0,1,69.6
2026-03-13T07:24:39Z,node-002,9fcb52b5fed3eb1e,-1.0,1,69.6
2026-03-13T07:24:39Z,node-002,de16fbf95094f45a,-1.0,1,69.6
2026-03-13T07:24:39Z,node-003,076c5ab2fa410bcf,-4.0,27,82.6
2026-03-13T07:24:39Z,node-003,bbd2e3dba149f9f3,-2.0,2,73.9
2026-03-13T07:24:39Z,node-003,e8e8d755fc82c249,-1.0,1,69.6
2026-03-13T07:24:39Z,node-003,557c350edddcb9d4,1.0,1,60.9
2026-03-13T07:24:39Z,node-003,61926b2d34c73906,0.0,2,65.2
2026-03-13T07:24:39Z,node-003,714b8e9c0dba83e2,-1.0,1,69.6
2026-03-13T07:24:39Z,node-003,c53f3d1b9d09afb5,1.0,1,60.9
2026-03-13T07:24:39Z,node-003,46e3ccb8fd33a41f,-1.0,1,69.6
2026-03-13T07:24:39Z,node-003,9eca3a7f27a9421f,0.0,2,65.2
2026-03-13T07:24:39Z,node-003,ca7a5f7bbab7b3e0,1.0,1,60.9
2026-03-13T07:24:39Z,node-003,28ca6e72239e128d,-2.0,2,73.9
2026-03-13T07:24:39Z,node-003,ec7139baf01eeb34,-2.0,2,73.9
2026-03-13T07:24:39Z,node-003,4806ad0a6313236c,-1.0,1,69.6
2026-03-13T07:24:39Z,node-003,226b8f11d0af2a61,-1.0,1,69.6
2026-03-13T07:24:39Z,node-003,1698944728fc72fc,-1.0,1,69.6
2026-03-13T07:24:39Z,node-003,84283568e01edbb0,1.0,1,60.9
